,Lift,Toilets,Water Tap,Electricity,Attached Bathroom,Water Harvesting,Cable Connection,Assessment Number
14053,No,No,Yes,Yes,No,No,No,1086289906
14054,No,No,Yes,Yes,No,No,No,1086289912
14055,No,No,Yes,Yes,No,No,No,1086290038
14056,No,No,Yes,Yes,No,No,No,1086290058
14057,No,No,Yes,Yes,No,No,No,1086290061
14058,No,No,Yes,Yes,No,No,No,1086290087
14059,No,No,Yes,Yes,No,No,No,1086290192
14060,No,No,Yes,Yes,No,No,No,1086290657
14061,No,No,Yes,Yes,No,No,No,1086290199
14062,No,No,Yes,Yes,No,No,No,1086290559
14063,No,No,Yes,Yes,No,No,No,1086290797
14064,No,No,Yes,Yes,No,No,No,1086290248
14065,No,No,Yes,Yes,No,No,No,1086290251
14066,No,No,Yes,Yes,No,No,No,1086290258
14067,No,No,Yes,Yes,No,No,No,1086290292
14068,No,No,Yes,Yes,No,No,No,1086290299
14069,No,No,Yes,Yes,No,No,No,1086290376
14070,No,No,Yes,Yes,No,No,No,1086290577
14071,No,No,Yes,Yes,No,No,No,1086290607
14072,No,No,Yes,Yes,No,No,No,1086290651
14073,No,No,Yes,Yes,No,No,No,1086290655
14074,No,No,Yes,Yes,No,No,No,1086290718
14075,No,No,Yes,Yes,No,No,No,1086290715
14076,No,No,Yes,Yes,No,No,No,1086291141
14077,No,No,Yes,Yes,No,No,No,1086290790
14078,No,No,Yes,Yes,No,No,No,1086291074
14079,No,Yes,Yes,Yes,No,No,No,1086290861
14080,No,No,Yes,Yes,No,No,No,1086290870
14081,No,No,Yes,Yes,No,No,No,1086290965
14082,No,No,Yes,Yes,No,No,No,1086291112
14083,No,No,Yes,Yes,No,No,No,1086291142
14084,No,Yes,Yes,Yes,Yes,No,No,1086291217
14085,No,No,Yes,Yes,No,No,No,1086291227
14086,No,No,Yes,Yes,No,No,No,1086291261
14087,No,No,Yes,Yes,No,No,No,1086291404
14088,No,Yes,Yes,Yes,No,No,No,1086291705
14089,No,No,Yes,Yes,No,No,No,1086291707
14090,No,No,Yes,Yes,No,No,No,1086291768
14091,No,No,Yes,Yes,No,No,No,1086291777
14092,No,No,Yes,Yes,No,No,No,1086291779
14093,No,No,Yes,Yes,No,No,No,1086291784
14094,No,No,Yes,Yes,No,No,No,1086291791
14095,No,No,Yes,Yes,No,No,No,1086291829
14096,No,No,Yes,Yes,No,No,No,1086291958
14097,No,No,Yes,Yes,No,No,No,1086291896
14098,No,No,Yes,Yes,No,No,No,1086291919
14099,No,No,Yes,Yes,No,No,No,1086291947
14100,No,No,Yes,Yes,No,No,No,1086292030
14101,No,No,Yes,Yes,No,No,No,1086292066
14102,No,No,Yes,Yes,No,No,No,1086292105
14103,No,No,Yes,Yes,No,No,No,1086292106
14104,No,No,Yes,Yes,No,No,No,1086292131
14105,No,No,Yes,Yes,No,No,No,1086292200
14106,No,No,Yes,Yes,No,No,No,1086292242
14107,No,No,Yes,Yes,No,No,No,1086292251
14108,No,No,Yes,Yes,No,No,No,1086292257
14109,No,No,Yes,Yes,No,No,No,1086292276
14110,No,No,Yes,Yes,No,No,No,1086292278
14111,No,No,Yes,Yes,No,No,No,1086292279
14112,No,No,Yes,Yes,No,No,No,1086292313
14113,No,Yes,Yes,Yes,No,No,No,1086292382
