,Lift,Toilets,Water Tap,Electricity,Attached Bathroom,Water Harvesting,cable connection,Assessment Number
0,No,Yes,No,Yes,No,No,Yes,1086539031
0,No,Yes,No,Yes,Yes,No,No,1086543381
0,No,Yes,No,Yes,Yes,No,No,1086546597
0,No,No,No,No,No,No,No,1086546931
0,No,No,No,No,No,No,No,1086546932
0,No,No,Yes,Yes,No,No,No,1086298070
0,No,No,Yes,Yes,No,No,No,1086295541
0,No,No,Yes,Yes,No,No,No,1086295574
0,No,No,Yes,Yes,No,No,No,1086295570
0,No,Yes,Yes,Yes,Yes,No,Yes,1086295573
0,No,No,Yes,Yes,No,No,No,1086295579
0,No,No,Yes,Yes,No,No,No,1086295589
0,No,No,No,No,No,No,No,1086461031
0,No,No,Yes,Yes,No,No,No,1086295635
0,No,No,Yes,Yes,No,No,No,1086295673
0,No,No,Yes,Yes,No,No,No,1086295647
0,No,No,Yes,Yes,No,No,No,1086295652
0,No,No,Yes,Yes,No,No,No,1086295653
0,No,No,Yes,Yes,No,No,No,1086295657
0,No,No,Yes,Yes,No,No,No,1086295668
0,No,No,Yes,Yes,No,No,No,1086295698
0,No,No,Yes,Yes,No,No,No,1086295706
0,No,No,Yes,Yes,No,No,No,1086295712
0,No,No,Yes,Yes,No,No,No,1086295713
0,No,No,Yes,Yes,No,No,No,1086295738
0,No,No,Yes,Yes,No,No,No,1086295742
0,No,No,Yes,Yes,No,No,No,1086295748
0,No,No,Yes,Yes,No,No,No,1086295750
0,No,No,Yes,Yes,No,No,No,1086295777
0,No,No,Yes,Yes,No,No,No,1086295782
0,No,No,Yes,Yes,No,No,No,1086295783
0,No,No,Yes,Yes,No,No,No,1086295788
0,No,No,Yes,Yes,No,No,No,1086295797
0,No,No,Yes,Yes,No,No,No,1086295799
0,No,No,Yes,Yes,No,No,No,1086295802
0,No,No,Yes,Yes,No,No,No,1086295814
0,No,No,Yes,Yes,No,No,No,1086295967
0,No,No,Yes,Yes,No,No,No,1086295889
0,No,Yes,Yes,Yes,Yes,No,No,1086295894
0,No,Yes,Yes,Yes,Yes,No,No,1086295914
0,No,No,Yes,Yes,No,No,No,1086295919
